Symbol,0,1,2,3,4,5
D,0.023954878,0.456646459,6.52E-32,1.95E-06,0.519396709,0
J,0.143041697,0.844093162,2.19E-10,0.005137373,0.007727768,0
APTV,0.114885337,0.844536901,1.55E-16,0.00316704,0.037410722,0
TRV,0.048845981,0.921661125,4.84E-18,0.002374865,0.027118029,0
BG,0.002179076,0.869502413,1.26E-35,7.30E-08,0.128318438,0
RMD,0.942626544,0.00532365,3.54E-15,0.019659978,0.032389829,0
CMG,0.100650514,0.870214046,1.26E-15,0.00320026,0.02593518,0
DXCM,0.966672362,1.81E-05,3.66E-17,0.021418496,0.011891007,0
TRMB,0.079546541,0.894716643,7.46E-16,0.002877571,0.022859244,0
CNC,0.19105161,0.766969143,3.84E-15,0.004945729,0.037033519,0
COO,0.067307021,0.903532365,1.06E-16,0.005019405,0.02414121,0
EL,0.123277984,0.632707668,3.13E-23,0.000561633,0.243452715,0
SYY,0.041027539,0.924998385,3.00E-19,0.001557719,0.032416356,0
ENPH,0.971735875,6.74E-08,1.53E-18,0.024582181,0.003681876,0
TTWO,0.011938817,0.892130737,1.31E-27,2.38E-05,0.095906624,0
DRI,2.73E-06,1.31E-05,0.9999842,2.67E-16,5.35E-10,0
JKHY,0.051523695,0.918509626,6.43E-18,0.002914406,0.027052272,0
MU,0.967648714,1.09E-06,4.61E-11,0.031787815,0.000562383,0
ADSK,9.57E-21,7.48E-18,4.95E-10,2.87E-48,1.96E-26,1
ISRG,0.595002896,0.337846854,4.03E-14,0.012659522,0.054490728,0
ADI,0.135494866,0.703171573,2.53E-21,0.001202607,0.160130955,0
AEP,0.051625428,0.899862733,8.62E-20,0.001129819,0.04738202,0
DVN,0.954095843,0.002489593,1.02E-14,0.021083576,0.022330988,0
GEN,0.042903874,0.694080478,6.18E-27,5.33E-05,0.262962358,0
CNP,0.03608306,0.907441603,1.37E-21,0.000563437,0.055911899,0
K,0.018557111,0.920387138,2.30E-24,0.000169339,0.060886412,0
AMCR,0.261051921,0.703230075,1.25E-13,0.006220197,0.029497808,0
VRSN,0.008915014,0.913487315,1.93E-28,2.16E-05,0.077576055,0
GWW,0.066411153,0.911211568,1.04E-15,0.003647918,0.018729361,0
BA,0.750394405,0.050904453,2.50E-19,0.007615197,0.191085945,0
BRK.B,0.536029732,4.79E-19,1.05E-12,0.463970163,1.05E-07,0
ABNB,0.111555233,0.000768271,1.88E-34,9.07E-07,0.88767559,0
DE,0.094154034,0.709307987,3.31E-23,0.000478495,0.196059484,0
COF,0.104635444,0.74753125,8.99E-22,0.000874028,0.146959278,0
PXD,0.159759191,0.725794539,1.60E-19,0.002273129,0.112173141,0
UDR,0.089083334,0.895571167,3.36E-13,0.003603653,0.011741846,0
PPG,0.054878571,0.917220794,2.13E-17,0.002293647,0.025606988,0
GPN,0.059670299,0.79179382,1.42E-23,0.000314701,0.148221181,0
SEDG,1.82E-06,7.95E-19,0.999998175,4.98E-13,2.06E-15,0
AIG,0.115266554,0.874760767,5.61E-11,0.002627478,0.007345201,0
LKQ,0.080495944,0.901006428,3.82E-14,0.004292948,0.01420468,0
VRTX,0.123932194,0.868400857,6.35E-10,0.002056282,0.005610666,0
KMB,0.017932895,0.922966926,9.89E-25,0.000211957,0.058888223,0
PKG,0.011145788,0.912041725,3.47E-27,3.52E-05,0.076777337,0
PHM,0.033730593,0.435064487,7.90E-31,4.74E-06,0.531200179,0
HAL,0.169215788,0.058447264,1.34E-28,4.78E-05,0.772289158,0
APA,0.02081253,0.106969249,1.29E-35,1.26E-07,0.872218095,0
FOXA,0.145310437,0.840290882,8.06E-12,0.003284339,0.011114343,0
L,0.045807629,0.887647955,2.12E-22,0.002005222,0.064539194,0
RHI,0.085031174,0.898585161,1.41E-13,0.003759552,0.012624113,0
TFC,0.935978922,1.16E-05,1.30E-22,0.004409372,0.059600128,0
ESS,0.156947438,0.827669583,1.63E-10,0.006688976,0.008694003,0
SNPS,0.07774928,0.888832928,5.42E-17,0.002449836,0.030967956,0
JPM,0.92182902,2.92E-10,1.62E-13,0.078059802,0.000111178,0
NOC,0.070771627,0.829716272,1.72E-21,0.000762047,0.098750054,0
ZION,0.879344228,0.000402784,1.08E-21,0.00484979,0.115403197,0
PAYX,0.040960569,0.925167594,2.98E-19,0.001607755,0.032264083,0
UHS,0.010793512,0.910301106,2.14E-27,3.05E-05,0.07887493,0
DG,0.936851459,0.028773263,8.06E-12,0.017021293,0.017353985,0
DHR,0.396956603,0.352049609,3.13E-20,0.003610474,0.247383314,0
IDXX,0.034850403,0.848024799,1.85E-24,0.000163887,0.11696091,0
MNST,0.108812547,0.442001268,3.32E-26,0.0001334,0.449052785,0
CTVA,0.102548623,0.861450775,2.05E-16,0.003006579,0.032994023,0
BEN,0.109042627,0.868261891,2.26E-14,0.003488012,0.01920747,0
OXY,0.704362202,0.008538352,1.70E-22,0.002675733,0.284423714,0
LYB,0.008770212,0.89752156,9.07E-29,1.19E-05,0.093696375,0
ZBH,0.032353867,0.912136844,6.55E-22,0.000491886,0.055017404,0
GS,0.065569829,0.798435888,6.27E-23,0.000431028,0.135563255,0
CCL,0.240005619,1.01E-23,8.40E-13,0.759994379,2.04E-09,0
MKTX,0.282285705,0.649540376,6.37E-16,0.00636791,0.061806008,0
ZTS,0.062181427,0.831000085,3.54E-22,0.000557263,0.106261225,0
CSGP,0.109600606,0.822688096,1.17E-18,0.002168334,0.065542964,0
DPZ,0.100072161,0.880780138,6.31E-14,0.003370129,0.015777572,0
CARR,0.616947469,0.287274468,1.55E-15,0.012397381,0.083380683,0
IR,0.008628373,0.856340636,4.24E-30,4.50E-06,0.135026488,0
AAPL,1.32E-105,0,1.13E-100,1,0.00E+00,0
CAT,0.346393951,0.39116012,1.05E-20,0.002827912,0.259618016,0
CPB,0.018754998,0.913955055,1.25E-24,0.000137979,0.067151968,0
OTIS,0.016469513,0.923016317,4.50E-25,0.000161684,0.060352486,0
JNPR,0.029208671,0.785695641,7.59E-27,4.62E-05,0.185049537,0
DLTR,0.339850214,0.595651596,3.28E-15,0.007728644,0.056769546,0
MSFT,7.91E-60,0,7.30E-61,1,2.73E-179,0
NUE,0.128389926,0.828352674,1.91E-16,0.00342752,0.03982988,0
DTE,0.041406666,0.924984095,3.41E-19,0.00171475,0.031894488,0
IT,0.123413518,0.861773183,2.06E-11,0.0055671,0.009246199,0
GE,0.264009381,0.151390452,2.69E-25,0.000371484,0.584228683,0
BR,0.031392261,0.921968495,9.02E-22,0.001027794,0.04561145,0
WRB,0.052544955,0.918399655,1.05E-17,0.002957468,0.026097922,0
CMS,0.069906121,0.908888533,2.22E-15,0.003278236,0.01792711,0
FFIV,0.12404825,0.864006501,9.07E-11,0.004291555,0.007653694,0
IPG,0.825725935,0.140975617,4.11E-11,0.013049344,0.020249103,0
BMY,0.247974109,0.000967969,4.50E-31,1.54E-05,0.751042526,0
NFLX,0.985504593,2.11E-09,1.92E-22,0.009424577,0.005070828,0
LDOS,0.105821835,0.874744019,5.53E-13,0.006641867,0.012792279,0
RSG,0.026608538,0.922749305,1.01E-22,0.000661523,0.049980634,0
WDC,0.67643899,0.074038279,4.35E-20,0.005661749,0.243860981,0
HBAN,0.014429799,0.00019563,5.47E-43,2.88E-10,0.98537457,0
IRM,0.029460402,0.926841042,1.94E-21,0.000701179,0.042997377,0
TSN,0.019293468,0.909253932,9.98E-25,0.000128154,0.071324446,0
ULTA,0.050379028,0.920998292,8.44E-18,0.002438252,0.026184428,0
O,0.100471594,0.818329934,1.29E-19,0.001637654,0.079560817,0
WAT,0.074095828,0.900317778,4.72E-16,0.00278123,0.022805163,0
YUM,0.158963704,0.8324679,6.36E-09,0.003171165,0.005397225,0
ARE,0.113877216,0.86504009,6.00E-14,0.003543911,0.017538783,0
PSX,0.10917328,0.854781316,3.16E-16,0.003175681,0.032869723,0
RVTY,0.296596534,0.53389742,2.56E-19,0.00372861,0.165777437,0
ROP,0.027642077,0.912475292,1.51E-23,0.000660378,0.059222253,0
STT,0.195782944,0.704417163,2.06E-18,0.003380576,0.096419317,0
PCG,0.966032043,1.06E-05,1.05E-13,0.03092212,0.003035215,0
QRVO,0.082703118,0.887054481,2.15E-16,0.002727351,0.02751505,0
ALGN,0.969430076,2.60E-07,2.64E-23,0.00444748,0.026122183,0
GOOG,6.76E-27,2.92E-214,8.82E-34,1,1.77E-85,0
FMC,0.187783031,0.101503907,1.86E-27,9.72E-05,0.710615824,0
PAYC,0.754898514,0.085809936,5.28E-18,0.010364031,0.148927519,0
TER,0.137539748,0.828291043,2.61E-15,0.003905858,0.030263352,0
ABBV,0.730087226,0.017169594,2.72E-21,0.004191775,0.248551404,0
ALK,0.021933959,0.764509294,2.01E-28,1.68E-05,0.213539915,0
ON,0.936180183,9.92E-10,4.27E-15,0.063523094,0.000296721,0
